Query id=19335, Doc id=7941023, old score=0.00, new score=-1.84, old rank=996, new rank=1000
Query id=19335, Doc id=7954311, old score=0.00, new score=-1.84, old rank=997, new rank=974
Query id=19335, Doc id=8388429, old score=0.00, new score=-1.84, old rank=998, new rank=997
Query id=19335, Doc id=7959785, old score=0.00, new score=-1.84, old rank=999, new rank=993
Query id=19335, Doc id=7982679, old score=0.00, new score=-1.84, old rank=1000, new rank=995
Query id=47923, Doc id=84017, old score=0.00, new score=-0.93, old rank=996, new rank=985
Query id=47923, Doc id=472111, old score=0.00, new score=-0.93, old rank=997, new rank=861
Query id=47923, Doc id=8418678, old score=0.00, new score=-0.93, old rank=998, new rank=912
Query id=47923, Doc id=8418681, old score=0.00, new score=-0.93, old rank=999, new rank=21
Query id=47923, Doc id=8418686, old score=0.00, new score=-0.93, old rank=1000, new rank=874
Query id=87181, Doc id=7945418, old score=0.00, new score=-1.82, old rank=996, new rank=994
Query id=87181, Doc id=4692745, old score=0.00, new score=-1.82, old rank=997, new rank=997
Query id=87181, Doc id=8395842, old score=0.00, new score=-1.82, old rank=998, new rank=995
Query id=87181, Doc id=47205, old score=0.00, new score=-1.82, old rank=999, new rank=986
Query id=87181, Doc id=4724225, old score=0.00, new score=-1.82, old rank=1000, new rank=991
Query id=87452, Doc id=4636306, old score=0.00, new score=-1.25, old rank=996, new rank=995
Query id=87452, Doc id=8348433, old score=0.00, new score=-1.25, old rank=997, new rank=993
Query id=87452, Doc id=4654326, old score=0.00, new score=-1.19, old rank=998, new rank=961
Query id=87452, Doc id=8406533, old score=0.00, new score=-1.19, old rank=999, new rank=993
Query id=87452, Doc id=8406537, old score=0.00, new score=-1.19, old rank=1000, new rank=997
Query id=104861, Doc id=834134, old score=0.00, new score=-1.54, old rank=996, new rank=985
Query id=104861, Doc id=7942043, old score=0.00, new score=-1.54, old rank=997, new rank=992
Query id=104861, Doc id=4690865, old score=0.00, new score=-1.54, old rank=998, new rank=993
Query id=104861, Doc id=4726633, old score=0.00, new score=-1.54, old rank=999, new rank=962
Query id=104861, Doc id=842003, old score=0.00, new score=-1.78, old rank=1000, new rank=963
Query id=130510, Doc id=8367377, old score=0.00, new score=-1.06, old rank=996, new rank=996
Query id=130510, Doc id=8385888, old score=0.00, new score=-1.09, old rank=997, new rank=997
Query id=130510, Doc id=7975564, old score=0.00, new score=-1.06, old rank=998, new rank=998
Query id=130510, Doc id=471939, old score=0.00, new score=-1.06, old rank=999, new rank=999
Query id=130510, Doc id=799646, old score=0.00, new score=-1.09, old rank=1000, new rank=1000
Query id=131843, Doc id=8395044, old score=0.00, new score=-1.16, old rank=996, new rank=991
Query id=131843, Doc id=4720653, old score=0.00, new score=-1.07, old rank=997, new rank=992
Query id=131843, Doc id=8412720, old score=0.00, new score=-1.16, old rank=998, new rank=998
Query id=131843, Doc id=7987888, old score=0.00, new score=-1.16, old rank=999, new rank=1000
Query id=131843, Doc id=7987893, old score=0.00, new score=-1.16, old rank=1000, new rank=993
Query id=146187, Doc id=8361898, old score=0.00, new score=-2.07, old rank=996, new rank=996
Query id=146187, Doc id=8361902, old score=0.00, new score=-2.07, old rank=997, new rank=907
Query id=146187, Doc id=8361904, old score=0.00, new score=-2.07, old rank=998, new rank=992
Query id=146187, Doc id=7938277, old score=0.00, new score=-2.07, old rank=999, new rank=999
Query id=146187, Doc id=8421480, old score=0.00, new score=-2.07, old rank=1000, new rank=1000
Query id=148538, Doc id=4668458, old score=0.00, new score=-1.32, old rank=996, new rank=997
Query id=148538, Doc id=7935780, old score=0.00, new score=-1.32, old rank=997, new rank=994
Query id=148538, Doc id=4714074, old score=0.00, new score=-1.32, old rank=998, new rank=996
Query id=148538, Doc id=8411342, old score=0.00, new score=-1.32, old rank=999, new rank=981
Query id=148538, Doc id=7993003, old score=0.00, new score=-1.32, old rank=1000, new rank=981
Query id=156493, Doc id=4649786, old score=0.00, new score=-1.49, old rank=996, new rank=994
Query id=156493, Doc id=8376839, old score=0.00, new score=-1.49, old rank=997, new rank=998
Query id=156493, Doc id=8376842, old score=0.00, new score=-1.49, old rank=998, new rank=923
Query id=156493, Doc id=8376847, old score=0.00, new score=-1.49, old rank=999, new rank=991
Query id=156493, Doc id=468074, old score=0.00, new score=-1.49, old rank=1000, new rank=992
Query id=168216, Doc id=8319218, old score=0.00, new score=-1.30, old rank=996, new rank=901
Query id=168216, Doc id=8320715, old score=0.00, new score=-1.30, old rank=997, new rank=952
Query id=168216, Doc id=4644283, old score=0.00, new score=-1.30, old rank=998, new rank=994
Query id=168216, Doc id=8357562, old score=0.00, new score=-1.30, old rank=999, new rank=998
Query id=168216, Doc id=4713642, old score=0.00, new score=-1.30, old rank=1000, new rank=991
Query id=182539, Doc id=8380093, old score=0.00, new score=-1.42, old rank=996, new rank=992
Query id=182539, Doc id=8380094, old score=0.00, new score=-1.42, old rank=997, new rank=996
Query id=182539, Doc id=8383008, old score=0.00, new score=-1.42, old rank=998, new rank=984
Query id=182539, Doc id=8389161, old score=0.00, new score=-1.42, old rank=999, new rank=995
Query id=182539, Doc id=4719468, old score=0.00, new score=-1.51, old rank=1000, new rank=973
Query id=183378, Doc id=7901097, old score=0.00, new score=-1.14, old rank=996, new rank=992
Query id=183378, Doc id=8365380, old score=0.00, new score=-1.14, old rank=997, new rank=993
Query id=183378, Doc id=7952869, old score=0.00, new score=-1.14, old rank=998, new rank=989
Query id=183378, Doc id=8391162, old score=0.00, new score=-0.75, old rank=999, new rank=999

Query id=183378, Doc id=7973103, old score=0.00, new score=-0.75, old rank=1000, new rank=1000

Query id=207786, Doc id=463796, old score=0.00, new score=-0.56, old rank=996, new rank=995

Query id=207786, Doc id=7907913, old score=0.00, new score=-0.68, old rank=997, new rank=997

Query id=207786, Doc id=4672270, old score=0.00, new score=-0.83, old rank=998, new rank=969

Query id=207786, Doc id=795753, old score=0.00, new score=-0.68, old rank=999, new rank=1000

Query id=207786, Doc id=7969232, old score=0.00, new score=-0.68, old rank=1000, new rank=921

Query id=264014, Doc id=4647186, old score=0.00, new score=0.58, old rank=996, new rank=906

Query id=264014, Doc id=4651490, old score=0.00, new score=0.58, old rank=997, new rank=999

Query id=264014, Doc id=4656391, old score=0.00, new score=0.58, old rank=998, new rank=992

Query id=264014, Doc id=4700860, old score=0.00, new score=0.58, old rank=999, new rank=995

Query id=264014, Doc id=8415571, old score=0.00, new score=0.58, old rank=1000, new rank=1000

Query id=359349, Doc id=4666225, old score=0.00, new score=-0.93, old rank=996, new rank=991

Query id=359349, Doc id=7931128, old score=0.00, new score=-0.93, old rank=997, new rank=985

Query id=359349, Doc id=4688930, old score=0.00, new score=-0.84, old rank=998, new rank=996

Query id=359349, Doc id=4699858, old score=0.00, new score=-0.66, old rank=999, new rank=994

Query id=359349, Doc id=8398223, old score=0.00, new score=-0.66, old rank=1000, new rank=998

