Query id=131843, Doc id=8710813, old score=2.63, new score=-0.96, old rank=12, new rank=15

Query id=131843, Doc id=6497745, old score=-5.29, new score=-0.96, old rank=21, new rank=15

Query id=131843, Doc id=45696, old score=-6.81, new score=-0.96, old rank=35, new rank=15

Query id=131843, Doc id=2156286, old score=-6.96, new score=-0.96, old rank=44, new rank=15

Query id=131843, Doc id=7084908, old score=-7.09, new score=-0.96, old rank=54, new rank=15

Query id=131843, Doc id=1255443, old score=-7.30, new score=-0.96, old rank=63, new rank=15

Query id=131843, Doc id=3120466, old score=-7.38, new score=-0.96, old rank=72, new rank=15

Query id=131843, Doc id=6759002, old score=-7.54, new score=-0.96, old rank=89, new rank=15

Query id=131843, Doc id=5038538, old score=-7.59, new score=-0.96, old rank=92, new rank=15

Query id=1114646, Doc id=8117094, old score=5.25, new score=-1.02, old rank=12, new rank=58

Query id=1114646, Doc id=687064, old score=4.77, new score=-1.07, old rank=21, new rank=58

Query id=1114646, Doc id=3470484, old score=2.98, new score=-1.07, old rank=35, new rank=58

Query id=1114646, Doc id=2911040, old score=1.56, new score=-1.07, old rank=44, new rank=58

Query id=1114646, Doc id=1316103, old score=-0.35, new score=-1.07, old rank=54, new rank=58

Query id=1114646, Doc id=6485229, old score=-1.56, new score=-1.07, old rank=63, new rank=58

Query id=1114646, Doc id=8181052, old score=-1.77, new score=-1.07, old rank=72, new rank=58

Query id=1114646, Doc id=288953, old score=-2.01, new score=-1.07, old rank=89, new rank=58

Query id=1114646, Doc id=4460731, old score=-2.04, new score=-1.02, old rank=92, new rank=58

Query id=915593, Doc id=3538161, old score=7.18, new score=-1.32, old rank=12, new rank=237

Query id=915593, Doc id=8178998, old score=6.53, new score=-1.60, old rank=21, new rank=241

Query id=915593, Doc id=8103067, old score=5.82, new score=-1.60, old rank=35, new rank=241

Query id=915593, Doc id=8420020, old score=5.28, new score=-1.32, old rank=44, new rank=237

Query id=915593, Doc id=6761341, old score=5.01, new score=-1.32, old rank=54, new rank=237

Query id=915593, Doc id=3573479, old score=4.76, new score=-1.60, old rank=63, new rank=241

Query id=915593, Doc id=8029532, old score=4.36, new score=-1.32, old rank=72, new rank=237

Query id=915593, Doc id=2210594, old score=3.86, new score=-1.32, old rank=89, new rank=237

Query id=915593, Doc id=3375966, old score=3.77, new score=-1.32, old rank=92, new rank=237

Query id=87452, Doc id=8081930, old score=3.98, new score=-1.38, old rank=12, new rank=91

Query id=87452, Doc id=5751686, old score=2.08, new score=-1.38, old rank=21, new rank=91

Query id=87452, Doc id=8333921, old score=1.00, new score=-1.38, old rank=35, new rank=91

Query id=87452, Doc id=7843982, old score=0.45, new score=-1.38, old rank=44, new rank=91

Query id=87452, Doc id=3808783, old score=-0.06, new score=-1.38, old rank=54, new rank=91

Query id=87452, Doc id=994547, old score=-0.33, new score=-1.38, old rank=63, new rank=91

Query id=87452, Doc id=6018164, old score=-0.53, new score=-1.38, old rank=72, new rank=91

Query id=87452, Doc id=2282213, old score=-1.13, new score=-1.38, old rank=89, new rank=91

Query id=87452, Doc id=8436577, old score=-1.44, new score=-1.38, old rank=92, new rank=91

Query id=1037798, Doc id=3247266, old score=4.71, new score=-0.78, old rank=12, new rank=68

Query id=1037798, Doc id=3310854, old score=3.30, new score=-0.78, old rank=21, new rank=68

Query id=1037798, Doc id=6709846, old score=1.95, new score=-0.78, old rank=35, new rank=68

Query id=1037798, Doc id=8515267, old score=0.43, new score=-0.78, old rank=44, new rank=68

Query id=1037798, Doc id=4707299, old score=-0.08, new score=-0.78, old rank=54, new rank=68

Query id=1037798, Doc id=4849062, old score=-0.56, new score=-0.84, old rank=63, new rank=71

Query id=1037798, Doc id=5438881, old score=-0.86, new score=-0.78, old rank=72, new rank=68

Query id=1037798, Doc id=7730213, old score=-1.27, new score=-0.84, old rank=89, new rank=71

Query id=1037798, Doc id=1520773, old score=-1.43, new score=-0.78, old rank=92, new rank=68

Query id=183378, Doc id=4493914, old score=5.85, new score=-1.38, old rank=12, new rank=163

Query id=183378, Doc id=4493917, old score=5.38, new score=-1.38, old rank=21, new rank=163

Query id=183378, Doc id=4727412, old score=4.04, new score=-1.38, old rank=35, new rank=163

Query id=183378, Doc id=2533260, old score=3.63, new score=-1.38, old rank=44, new rank=163

Query id=183378, Doc id=2234247, old score=3.14, new score=-1.38, old rank=54, new rank=163

Query id=183378, Doc id=237976, old score=2.63, new score=-1.38, old rank=63, new rank=163

Query id=183378, Doc id=4493921, old score=2.19, new score=-1.38, old rank=72, new rank=163

Query id=183378, Doc id=1605768, old score=1.20, new score=-1.38, old rank=89, new rank=163

Query id=183378, Doc id=4285002, old score=1.13, new score=-1.39, old rank=92, new rank=164

Query id=1117099, Doc id=5286538, old score=7.06, new score=-1.18, old rank=12, new rank=82

Query id=1117099, Doc id=8714082, old score=4.34, new score=-1.18, old rank=21, new rank=82

Query id=1117099, Doc id=4059509, old score=1.62, new score=-1.18, old rank=35, new rank=82

Query id=1117099, Doc id=6936935, old score=0.56, new score=-1.18, old rank=44, new rank=82

Query id=1117099, Doc id=4775947, old score=-0.24, new score=-1.18, old rank=54, new rank=82

Query id=1117099, Doc id=2109699, old score=-0.54, new score=-1.18, old rank=63, new rank=82

Query id=1117099, Doc id=5354862, old score=-0.84, new score=-1.18, old rank=72, new rank=82

Query id=1117099, Doc id=6809395, old score=-1.33, new score=-1.18, old rank=89, new rank=82

Query id=1117099, Doc id=2109696, old score=-1.45, new score=-1.18, old rank=92, new rank=82

Query id=833860, Doc id=6230220, old score=7.70, new score=-1.45, old rank=12, new rank=99

Query id=833860, Doc id=7944293, old score=6.21, new score=-1.45, old rank=21, new rank=99

Query id=833860, Doc id=5417403, old score=3.28, new score=-1.45, old rank=35, new rank=99

Query id=833860, Doc id=4620277, old score=1.99, new score=-1.45, old rank=44, new rank=99

Query id=833860, Doc id=1900577, old score=0.86, new score=-1.45, old rank=54, new rank=99

Query id=833860, Doc id=7506146, old score=0.14, new score=-1.45, old rank=63, new rank=99

Query id=833860, Doc id=7435480, old score=-0.35, new score=-1.45, old rank=72, new rank=99

Query id=833860, Doc id=2363022, old score=-1.06, new score=-1.45, old rank=89, new rank=99

Query id=833860, Doc id=3162222, old score=-1.16, new score=-1.45, old rank=92, new rank=99

Query id=1121402, Doc id=182368, old score=4.64, new score=-0.61, old rank=12, new rank=45

Query id=1121402, Doc id=8052619, old score=2.83, new score=-0.61, old rank=21, new rank=45

Query id=1121402, Doc id=188215, old score=0.67, new score=-0.61, old rank=35, new rank=45

Query id=1121402, Doc id=188214, old score=-0.47, new score=-0.61, old rank=44, new rank=45

Query id=1121402, Doc id=133239, old score=-2.52, new score=-0.61, old rank=54, new rank=45

Query id=1121402, Doc id=95998, old score=-3.51, new score=-0.61, old rank=63, new rank=45

Query id=1121402, Doc id=8453588, old score=-4.18, new score=-0.61, old rank=72, new rank=45

Query id=1121402, Doc id=5894958, old score=-5.76, new score=-0.61, old rank=89, new rank=45

Query id=1121402, Doc id=5831283, old score=-5.92, new score=-0.61, old rank=92, new rank=45

Query id=1103812, Doc id=8084238, old score=5.48, new score=-0.96, old rank=12, new rank=107

Query id=1103812, Doc id=8293805, old score=3.80, new score=-0.96, old rank=21, new rank=107

Query id=1103812, Doc id=2703108, old score=2.58, new score=-0.96, old rank=35, new rank=107

Query id=1103812, Doc id=3591092, old score=1.78, new score=-0.96, old rank=44, new rank=107

Query id=1103812, Doc id=2586283, old score=1.04, new score=-0.96, old rank=54, new rank=107

Query id=1103812, Doc id=6842210, old score=0.65, new score=-0.96, old rank=63, new rank=107

Query id=1103812, Doc id=2360676, old score=0.15, new score=-0.94, old rank=72, new rank=105

Query id=1103812, Doc id=3672738, old score=-0.43, new score=-0.96, old rank=89, new rank=107

Query id=1103812, Doc id=4824834, old score=-0.49, new score=-0.94, old rank=92, new rank=105

Query id=489204, Doc id=4917998, old score=6.32, new score=-0.82, old rank=12, new rank=508

Query id=489204, Doc id=4279451, old score=6.01, new score=-0.96, old rank=21, new rank=523

Query id=489204, Doc id=1759357, old score=5.60, new score=-0.96, old rank=35, new rank=523

Query id=489204, Doc id=4142348, old score=5.39, new score=-0.96, old rank=44, new rank=523

Query id=489204, Doc id=6665318, old score=5.10, new score=-0.96, old rank=54, new rank=523

