Query id=19335, Doc id=7162353, old score=0, new score=0, old rank=12, new rank=22

Query id=19335, Doc id=7278403, old score=0, new score=0, old rank=21, new rank=32

Query id=19335, Doc id=7376433, old score=0, new score=0, old rank=35, new rank=46

Query id=19335, Doc id=7419949, old score=0, new score=0, old rank=44, new rank=57

Query id=19335, Doc id=8725335, old score=0, new score=0, old rank=54, new rank=64

Query id=19335, Doc id=1433053, old score=0, new score=0, old rank=63, new rank=73

Query id=19335, Doc id=6027490, old score=0, new score=0, old rank=72, new rank=82

Query id=19335, Doc id=6449975, old score=0, new score=0, old rank=89, new rank=99

Query id=19335, Doc id=6533726, old score=0, new score=0, old rank=92, new rank=95

Query id=47923, Doc id=8110289, old score=0, new score=0, old rank=12, new rank=21

Query id=47923, Doc id=525507, old score=0, new score=0, old rank=21, new rank=32

Query id=47923, Doc id=5353832, old score=0, new score=0, old rank=35, new rank=45

Query id=47923, Doc id=5420303, old score=0, new score=0, old rank=44, new rank=54

Query id=47923, Doc id=829489, old score=0, new score=0, old rank=54, new rank=64

Query id=47923, Doc id=6378785, old score=0, new score=0, old rank=63, new rank=74

Query id=47923, Doc id=6067090, old score=0, new score=0, old rank=72, new rank=81

Query id=47923, Doc id=6607412, old score=0, new score=0, old rank=89, new rank=96

Query id=47923, Doc id=3046563, old score=0, new score=0, old rank=92, new rank=93

Query id=87181, Doc id=8037182, old score=0, new score=0, old rank=12, new rank=23

Query id=87181, Doc id=6484576, old score=0, new score=0, old rank=21, new rank=15

Query id=87181, Doc id=8565, old score=0, new score=0, old rank=35, new rank=47

Query id=87181, Doc id=8617376, old score=0, new score=0, old rank=44, new rank=54

Query id=87181, Doc id=7469163, old score=0, new score=0, old rank=54, new rank=66

Query id=87181, Doc id=8738507, old score=0, new score=0, old rank=63, new rank=30

Query id=87181, Doc id=8809602, old score=0, new score=0, old rank=72, new rank=88

Query id=87181, Doc id=1463976, old score=0, new score=0, old rank=89, new rank=99

Query id=87181, Doc id=6462027, old score=0, new score=0, old rank=92, new rank=76

Query id=87452, Doc id=800967, old score=0, new score=0, old rank=12, new rank=20

Query id=87452, Doc id=8496922, old score=0, new score=0, old rank=21, new rank=36

Query id=87452, Doc id=7261516, old score=0, new score=0, old rank=35, new rank=44

Query id=87452, Doc id=5348449, old score=0, new score=0, old rank=44, new rank=54

Query id=87452, Doc id=8363118, old score=0, new score=0, old rank=54, new rank=64

Query id=87452, Doc id=5987443, old score=0, new score=0, old rank=63, new rank=73

Query id=87452, Doc id=6018164, old score=0, new score=0, old rank=72, new rank=15

Query id=87452, Doc id=1558541, old score=0, new score=0, old rank=89, new rank=94

Query id=87452, Doc id=164968, old score=0, new score=0, old rank=92, new rank=74

Query id=104861, Doc id=842002, old score=0, new score=0, old rank=12, new rank=21

Query id=104861, Doc id=8260038, old score=0, new score=0, old rank=21, new rank=35

Query id=104861, Doc id=5366860, old score=0, new score=0, old rank=35, new rank=45

Query id=104861, Doc id=7443134, old score=0, new score=0, old rank=44, new rank=54

Query id=104861, Doc id=5408396, old score=0, new score=0, old rank=54, new rank=55

Query id=104861, Doc id=8388256, old score=0, new score=0, old rank=63, new rank=71

Query id=104861, Doc id=6467584, old score=0, new score=0, old rank=72, new rank=44

Query id=104861, Doc id=6167530, old score=0, new score=0, old rank=89, new rank=100

Query id=104861, Doc id=6219305, old score=0, new score=0, old rank=92, new rank=66

Query id=130510, Doc id=8464350, old score=0, new score=0, old rank=12, new rank=25

Query id=130510, Doc id=8612904, old score=0, new score=0, old rank=21, new rank=14

Query id=130510, Doc id=8650775, old score=0, new score=0, old rank=35, new rank=45

Query id=130510, Doc id=7501223, old score=0, new score=0, old rank=44, new rank=54

Query id=130510, Doc id=6311867, old score=0, new score=0, old rank=54, new rank=66

Query id=130510, Doc id=956552, old score=0, new score=0, old rank=63, new rank=77

Query id=130510, Doc id=978180, old score=0, new score=0, old rank=72, new rank=71

Query id=130510, Doc id=657854, old score=0, new score=0, old rank=89, new rank=98

Query id=130510, Doc id=6596298, old score=0, new score=0, old rank=92, new rank=69

Query id=131843, Doc id=80373, old score=0, new score=0, old rank=12, new rank=22

