Query id=19335, Doc id=8418220, old score=0, new score=0, old rank=12, new rank=22

Query id=19335, Doc id=7279240, old score=0, new score=0, old rank=21, new rank=32

Query id=19335, Doc id=8224504, old score=0, new score=0, old rank=35, new rank=49

Query id=19335, Doc id=866141, old score=0, new score=0, old rank=44, new rank=59

Query id=19335, Doc id=8706880, old score=0, new score=0, old rank=54, new rank=69

Query id=19335, Doc id=1433053, old score=0, new score=0, old rank=63, new rank=76

Query id=19335, Doc id=636713, old score=0, new score=0, old rank=72, new rank=82

Query id=19335, Doc id=1566385, old score=0, new score=0, old rank=89, new rank=95

Query id=19335, Doc id=6562105, old score=0, new score=0, old rank=92, new rank=62

Query id=47923, Doc id=8441078, old score=0, new score=0, old rank=12, new rank=21

Query id=47923, Doc id=8110289, old score=0, new score=0, old rank=21, new rank=20

Query id=47923, Doc id=8619126, old score=0, new score=0, old rank=35, new rank=45

Query id=47923, Doc id=8214977, old score=0, new score=0, old rank=44, new rank=53

Query id=47923, Doc id=6318989, old score=0, new score=0, old rank=54, new rank=66

Query id=47923, Doc id=6378779, old score=0, new score=0, old rank=63, new rank=52

Query id=47923, Doc id=618555, old score=0, new score=0, old rank=72, new rank=89

Query id=47923, Doc id=6607412, old score=0, new score=0, old rank=89, new rank=97

Query id=47923, Doc id=6652175, old score=0, new score=0, old rank=92, new rank=81

Query id=87181, Doc id=5197135, old score=0, new score=0, old rank=12, new rank=24

Query id=87181, Doc id=8332555, old score=0, new score=0, old rank=21, new rank=11

Query id=87181, Doc id=8565, old score=0, new score=0, old rank=35, new rank=49

Query id=87181, Doc id=8617376, old score=0, new score=0, old rank=44, new rank=54

Query id=87181, Doc id=8217811, old score=0, new score=0, old rank=54, new rank=61

Query id=87181, Doc id=8738507, old score=0, new score=0, old rank=63, new rank=53

Query id=87181, Doc id=1411471, old score=0, new score=0, old rank=72, new rank=72

Query id=87181, Doc id=1462772, old score=0, new score=0, old rank=89, new rank=99

Query id=87181, Doc id=6472589, old score=0, new score=0, old rank=92, new rank=90

Query id=87452, Doc id=7166747, old score=0, new score=0, old rank=12, new rank=23

Query id=87452, Doc id=8081937, old score=0, new score=0, old rank=21, new rank=31

Query id=87452, Doc id=5268233, old score=0, new score=0, old rank=35, new rank=47

Query id=87452, Doc id=5348449, old score=0, new score=0, old rank=44, new rank=52

Query id=87452, Doc id=8363115, old score=0, new score=0, old rank=54, new rank=63

Query id=87452, Doc id=8363122, old score=0, new score=0, old rank=63, new rank=77

Query id=87452, Doc id=8436579, old score=0, new score=0, old rank=72, new rank=17

Query id=87452, Doc id=1558541, old score=0, new score=0, old rank=89, new rank=97

Query id=87452, Doc id=6206333, old score=0, new score=0, old rank=92, new rank=74

Query id=104861, Doc id=8516154, old score=0, new score=0, old rank=12, new rank=21

Query id=104861, Doc id=5347274, old score=0, new score=0, old rank=21, new rank=31

Query id=104861, Doc id=5363528, old score=0, new score=0, old rank=35, new rank=46

